,,CH4_Flux,CH4_Flux,CH4_Flux,CH4_Flux,CH4_Flux,CH4_Flux,CH4_Flux,CH4_Flux,CO2_Flux,CO2_Flux,CO2_Flux,CO2_Flux,CO2_Flux,CO2_Flux,CO2_Flux,CO2_Flux,d13CH4_source,d13CH4_source,d13CH4_source,d13CH4_source,d13CH4_source,d13CH4_source,d13CH4_source,d13CH4_source,d13CO2_source,d13CO2_source,d13CO2_source,d13CO2_source,d13CO2_source,d13CO2_source,d13CO2_source,d13CO2_source,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface,Soil_Tempeature_at_Surface
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,Soil_Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper GB,Neutral-Chloride,27.0,-0.6302075328322765,0.41802913199562813,-1.360241585173819,-0.8383272404657001,-0.6537093388912687,-0.34313954860125856,0.17413160706276953,27.0,1.3060806495493418,1.356185179487445,-0.018992575656447595,0.5651849410935412,0.9568140916337342,1.5774104196969556,6.302858989464918,27.0,-47.475267459559255,1.0353611396739997,-49.753002032199994,-48.1245033559,-47.4859027336,-46.735224325299995,-45.699198769700004,27.0,-8.353526533872223,0.7110537538794796,-9.43933101611,-8.922526924060001,-8.3215940394,-8.07585393559,-6.718986152169999,6.0,27.71666666666667,3.83948781306396,20.3,27.475,29.1,29.975,30.6
Lower GB,Neutral-Chloride,9.0,-0.9521911673289603,0.732672279979146,-1.867082025656364,-1.5615783299507333,-1.0273340354074882,-0.56810542343349,0.27636840306015975,9.0,4.733050910103392,3.1655884899927496,0.9228027668352801,1.8483104272673603,4.637911635250848,6.231366400736379,9.520219539769736,9.0,-46.967780256699996,0.9812296671608952,-48.0821959591,-47.6240618019,-47.388999806,-46.7238935294,-45.2776254321,9.0,-9.115790345105557,2.056182116560864,-12.3301459401,-10.617110181330002,-7.78168775018,-7.694904370399999,-7.07992991833,7.0,30.7,5.12802756102838,23.5,28.5,30.6,31.85,40.1
Terrace Springs,Travertine,6.0,-0.5436867409125424,0.29474287367447033,-0.8478835049000742,-0.7668050321144588,-0.6220161125676407,-0.32545833087737897,-0.1285309731625422,6.0,2.2099840611883823,1.5820046264506562,0.5252642191929958,1.4111696335775712,1.9757834161077272,2.3121196463280187,5.135876553252875,6.0,-46.196048806616666,0.8233506638795745,-47.355923926900005,-46.48233254435,-46.42571001895001,-45.56686884450001,-45.187153702399996,6.0,-10.030281255543333,1.3846357108830682,-12.673539547299999,-10.121682741660003,-9.659838003315,-9.214138258912499,-8.84726931411,6.0,28.316666666666666,2.609533802552989,26.2,26.425,27.3,29.45,32.8
Norris GB,Neutral-Chloride,21.0,33.1691211357146,17.361701188386217,-2.0632070382593652,39.70211997499621,41.39627852615081,43.04451573771284,44.50915490683191,21.0,40.80564618218149,20.51944542342084,-5.356751098047209,47.82514362840381,50.111788096482485,52.443398421513386,54.75547430251842,21.0,-31.65019703953333,7.97989118265084,-48.1321797797,-28.017469685800002,-27.699306685199996,-27.3557804358,-26.840885144500003,21.0,-5.388980111601904,2.8118185045768946,-11.512482612800001,-4.20802787255,-3.97418118482,-3.92281815783,-3.60621863087,4.0,28.1,14.46029045351441,19.2,19.349999999999998,21.85,30.6,49.5
North of Norris GB,Acid-Sulphate,2.0,-0.6284629282498846,0.014372953538182425,-0.6386261411624126,-0.6335445347061486,-0.6284629282498846,-0.6233813217936206,-0.6182997153373566,2.0,124.11378782399584,155.44485305638298,14.197678127281009,69.15573297563843,124.11378782399584,179.07184267235326,234.02989752071068,2.0,-46.061133410050004,0.09962324167192167,-46.1315776798,-46.096355544925004,-46.061133410050004,-46.025911275175,-45.9906891403,2.0,-7.645509860689999,2.9527034393539204,-9.733386485489998,-8.689448173089998,-7.645509860689999,-6.60157154829,-5.55763323589,2.0,28.1,0.989949493661168,27.4,27.75,28.1,28.45,28.8
North of Norris GB,Neutral-Chloride,6.0,-0.4138171437663211,0.21067265162743193,-0.5993768001830158,-0.5640495349500247,-0.4661372201114409,-0.3526034229337382,-0.03980582508797247,6.0,16.450702584746626,8.835237158849555,6.844671310644456,11.211084747266254,13.883191420347476,20.545032041987678,31.007133251700097,6.0,-45.921324530233335,0.42717216135179975,-46.318223506699994,-46.1775121858,-46.0614021309,-45.80614498107499,-45.14964461100001,6.0,-13.039137171286667,4.051154996298052,-17.0178823186,-15.3369963795,-15.025577662949999,-9.900643699882501,-7.53265038601,6.0,22.349999999999998,1.2012493496356207,20.5,21.674999999999997,22.65,23.025000000000002,23.8
Mammoth HS,Travertine,17.0,-1.195992209196128,1.1746920418923388,-4.022760799825381,-1.830448931263107,-0.8822586449138254,-0.3173858305028932,0.25857457146000806,17.0,76.43894442157993,104.3408300792763,-0.7094026755613231,2.8119137949679027,32.11656463906906,95.86334249389523,293.7876578033223,17.0,-46.4433916983,0.9474876822043254,-48.031509311300006,-47.2417019155,-46.471185671399994,-45.9826304275,-44.73531842130001,17.0,-7.103577092071176,1.7373012743842855,-9.31972048517,-8.40360951207,-7.02695481175,-5.31299085123,-4.13441515972,9.0,27.79111111111111,6.31765867320411,20.1,22.2,30.56,31.2,38.96
West Thumb GB,Neutral-Chloride,11.0,6.429227165141162,22.20201462703971,-1.140673244686838,-0.5929740665866945,-0.4283825935728661,0.398077625190001,73.3468023705289,11.0,4.16717066340707,5.480174107338892,-0.7970983935404723,0.844302236993359,2.413370121662906,5.404835968438725,17.45992806951289,11.0,-44.87080977940909,5.489491331487202,-48.3238410707,-47.214290873799996,-46.194946573200006,-45.309473563750004,-28.673328253,11.0,-9.20504625342909,1.9721066851185065,-12.720221132999999,-9.86301858229,-9.05423742719,-8.312131425535,-5.66637253724,11.0,26.172727272727276,6.598043787228288,18.0,21.55,26.3,28.9,40.1
Gas Vents (Solfatara Springs),Acid-Sulphate,22.0,70.05189872932915,80.94071020522914,-2.1705373686548155,3.3194061562761576,30.086221505502042,94.57563441175081,234.2727351195795,22.0,199.3148404927857,159.59099402860872,-0.8513640700234091,79.25927800563508,147.93070686157736,332.6847296638007,495.84784815347473,22.0,-36.41338969136364,6.704317514389181,-47.9768587417,-41.220608181575,-35.404581813700005,-31.820926763750002,-24.719767304999998,22.0,-6.4000079401531815,3.0310453182786445,-13.544160119600003,-7.3743377484225,-4.954364971335,-4.686801932370001,-3.4623827116200006,21.0,41.607619047619046,16.22048146781158,10.8,33.9,42.1,46.0,75.8
Mud Volcano,Acid-Sulphate,10.0,3.369366468197092,6.807375322979825,-2.8103559657356683,-0.48872858170097727,-0.04404631711896377,5.852262444576043,16.528140781370116,10.0,111.38181588191223,82.81018690913582,1.5436298697623076,49.56246570602377,89.1665011194944,186.39176845048982,239.93361133866426,10.0,-45.51244145574999,1.964187901398249,-47.648753018600004,-46.919249061224996,-46.27733738195,-44.21009702005,-41.91662779439999,10.0,-5.38556561558,2.101436726642475,-10.8400065697,-5.639717998284999,-4.62077105156,-4.4119967015175,-3.3558524600700004,10.0,28.75,6.748044984372223,15.5,25.025,29.9,33.3,38.5
Eastern Yellowstone,Acid-Sulphate,15.0,92.05043628947256,202.3745261552417,-1.1751106204522066,1.6652673009740055,16.51493447041272,38.621599589885854,604.201742218682,15.0,206.9149625472731,364.3543232300725,2.5312085060205143,46.98740152460182,106.57786614521123,120.32305976621623,1359.4761532521766,15.0,-42.83471616774,3.7321789664277096,-47.07130854449999,-45.82082759005,-42.91931209649999,-41.426964286499995,-32.872486660599996,15.0,-19.072189537784006,32.16656559354568,-101.10599906069999,-8.309282263459998,-7.20040732997,-5.868330360865,-4.58239579066,11.0,37.60909090909091,14.306533790227075,24.6,27.75,33.6,42.0,73.8
Eastern Yellowstone,Unclassified,8.0,-1.1423341531481737,0.5953390703892061,-2.401315389244108,-1.33051386364783,-0.949280241393789,-0.7764826311386831,-0.5797467781443906,8.0,14.896971404244763,10.404138014566579,0.6596724308974508,6.669096967717648,15.116885421314523,20.50518156242991,32.56224380384952,8.0,-46.5196680417125,1.1209659571696122,-47.73581404389999,-47.37765991615,-46.75038430079999,-45.67943879845,-44.947095967200006,8.0,-17.007295134868748,5.885575043123414,-23.3685811903,-21.697157331150002,-19.23879686365,-11.590922873922501,-8.44561841626,8.0,31.825,4.468540829270461,27.2,29.5,29.75,33.125,40.0
